header,title,title_url,channel_name,channel_url,timestamp,products,activity_controls,video_id,duration_seconds,topic_categories
YouTube,Watched Chris Harris on Cars | New Porsche 992.2 GT3 first look!,https://www.youtube.com/watch?v=PrWV6Kn55Bg,Chris Harris on Cars,https://www.youtube.com/channel/UC8AMAhCRmep7VJKe1sxvHFg,2024-10-20 02:47:46.479000+00:00,YouTube,YouTube watch history,PrWV6Kn55Bg,1287.0,"['Hobby', 'Lifestyle (sociology)', 'Vehicle']"
YouTube,Watched Did Max Verstappen & Red Bull break the rules?! 👀 | ESPN F1,https://www.youtube.com/watch?v=ACuaXxOC79s,ESPN,https://www.youtube.com/channel/UCiWLfSweyRNmLpgEHekhoAg,2024-10-20 02:42:25.149000+00:00,YouTube,YouTube watch history,ACuaXxOC79s,366.0,"['Motorsport', 'Sport']"
YouTube,Watched Hamilton Speaks Out on Red Bull’s Bib Device: Unstoppable or Cheating?,https://www.youtube.com/watch?v=7Siw5rYvAgw,Racing Avenue,https://www.youtube.com/channel/UCDWrm4wgiHu58ZHfRQuIHpg,2024-10-20 02:41:17.954000+00:00,YouTube,YouTube watch history,7Siw5rYvAgw,48.0,"['Motorsport', 'Sport']"
YouTube,Watched 12 Min Daily Stretch Routine (Improve Full Body Flexibility),https://www.youtube.com/watch?v=JhzUnwii3MU,Action Jacquelyn,https://www.youtube.com/channel/UCezEzIGp34wPBrmvIshdj5A,2024-10-20 00:04:54.609000+00:00,YouTube,YouTube watch history,JhzUnwii3MU,847.0,"['Health', 'Lifestyle (sociology)', 'Physical fitness']"
YouTube,Watched Inside Yolanda Hadid’s Modern Texas Ranch | Open Door | Architectural Digest,https://www.youtube.com/watch?v=85FOpVpJPbw,Architectural Digest,https://www.youtube.com/channel/UC0k238zFx-Z8xFH0sxCrPJg,2024-10-20 00:04:22.914000+00:00,YouTube,YouTube watch history,85FOpVpJPbw,649.0,"['Hobby', 'Lifestyle (sociology)']"
YouTube,Watched Inside Yolanda Hadid’s Modern Texas Ranch | Open Door | Architectural Digest,https://www.youtube.com/watch?v=85FOpVpJPbw,Architectural Digest,https://www.youtube.com/channel/UC0k238zFx-Z8xFH0sxCrPJg,2024-10-19 01:51:17.921000+00:00,YouTube,YouTube watch history,85FOpVpJPbw,649.0,"['Hobby', 'Lifestyle (sociology)']"
YouTube,Watched Inside Antoni Porowski’s Sophisticated New York Home | Open Door | Architectural Digest,https://www.youtube.com/watch?v=VK8sSvBAP1w,Architectural Digest,https://www.youtube.com/channel/UC0k238zFx-Z8xFH0sxCrPJg,2024-10-19 01:37:35.263000+00:00,YouTube,YouTube watch history,VK8sSvBAP1w,774.0,"['Hobby', 'Lifestyle (sociology)']"
YouTube,Watched Sprint Qualifying Highlights | 2024 United States Grand Prix,https://www.youtube.com/watch?v=hGm41ej-uK8,FORMULA 1,https://www.youtube.com/channel/UCB_qr75-ydFVKSF9Dmo6izg,2024-10-19 01:36:28.273000+00:00,YouTube,YouTube watch history,hGm41ej-uK8,423.0,"['Motorsport', 'Sport']"
YouTube,Watched This Simple Question STUMPED My Wife?,https://www.youtube.com/watch?v=mbRL8nxgpoM,Courtney & Alex ,https://www.youtube.com/channel/UCC1oaRFc9jkPevIOHf2qbpw,2024-10-18 04:27:20.812000+00:00,YouTube,YouTube watch history,mbRL8nxgpoM,60.0,['Entertainment']
YouTube,Watched The rare Splash Hit™️ #shorts #sports #sfgiants #giants #oraclepark #baseball #mlb #sanfrancisco,https://www.youtube.com/watch?v=wY_6ol9zGP4,Maapify,https://www.youtube.com/channel/UC0agktm44sIHDgxTTvwjKKw,2024-10-18 04:27:17.876000+00:00,YouTube,YouTube watch history,wY_6ol9zGP4,60.0,"['Baseball', 'Sport']"
